img_id,building_percentage
TRAIN_3744,0.475
TRAIN_2131,0.416
TRAIN_2938,0.402
TRAIN_5902,0.354
TRAIN_2756,0.343
TRAIN_0160,0.339
TRAIN_6638,0.337
TRAIN_6995,0.317
TRAIN_5242,0.314
TRAIN_0334,0.303
TRAIN_4496,0.297
TRAIN_2866,0.293
TRAIN_6109,0.292
TRAIN_3607,0.291
TRAIN_7139,0.289
TRAIN_5396,0.286
TRAIN_3989,0.269
TRAIN_2967,0.262
TRAIN_5522,0.262
TRAIN_6964,0.262
TRAIN_1577,0.261
TRAIN_0778,0.259
TRAIN_6206,0.258
TRAIN_7094,0.254
TRAIN_1135,0.248
TRAIN_0068,0.246
TRAIN_2059,0.246
TRAIN_0406,0.243
TRAIN_0027,0.242
TRAIN_6061,0.241
TRAIN_3471,0.239
TRAIN_4068,0.238
TRAIN_2333,0.237
TRAIN_3028,0.235
TRAIN_2887,0.232
TRAIN_5544,0.232
TRAIN_2257,0.228
TRAIN_2403,0.227
TRAIN_3467,0.227
TRAIN_3562,0.227
TRAIN_3828,0.226
TRAIN_3206,0.225
TRAIN_2351,0.223
TRAIN_1627,0.221
TRAIN_7083,0.221
TRAIN_2537,0.219
TRAIN_6064,0.218
TRAIN_0377,0.217
TRAIN_0924,0.216
TRAIN_4304,0.216
TRAIN_3102,0.215
TRAIN_6330,0.213
TRAIN_3070,0.212
TRAIN_4046,0.212
TRAIN_5470,0.212
TRAIN_2936,0.211
TRAIN_6034,0.211
TRAIN_7074,0.211
TRAIN_2737,0.209
TRAIN_0030,0.207
TRAIN_3063,0.207
TRAIN_3220,0.204
TRAIN_2707,0.203
TRAIN_2568,0.202
TRAIN_6811,0.202
TRAIN_7016,0.201
TRAIN_3969,0.2
TRAIN_3753,0.199
TRAIN_0384,0.197
TRAIN_2623,0.197
TRAIN_3381,0.197
TRAIN_4195,0.197
TRAIN_5704,0.197
TRAIN_3449,0.196
TRAIN_5992,0.196
TRAIN_6592,0.196
TRAIN_1676,0.195
TRAIN_4838,0.195
TRAIN_4969,0.195
TRAIN_6506,0.195
TRAIN_0902,0.194
TRAIN_1302,0.194
TRAIN_2471,0.194
TRAIN_4651,0.194
TRAIN_0365,0.193
TRAIN_2158,0.193
TRAIN_4696,0.193
TRAIN_0959,0.192
TRAIN_6760,0.192
TRAIN_1567,0.191
TRAIN_6577,0.191
TRAIN_3712,0.19
TRAIN_0648,0.189
TRAIN_0234,0.188
TRAIN_1016,0.188
TRAIN_4176,0.188
TRAIN_0836,0.187
TRAIN_1310,0.187
TRAIN_3222,0.187
TRAIN_5234,0.187
TRAIN_5511,0.187
TRAIN_6150,0.186
TRAIN_2783,0.185
TRAIN_4666,0.185
TRAIN_2020,0.184
TRAIN_4275,0.184
TRAIN_5661,0.184
TRAIN_5727,0.184
TRAIN_1240,0.183
TRAIN_1291,0.183
TRAIN_5247,0.183
TRAIN_0623,0.182
TRAIN_5280,0.182
TRAIN_2056,0.181
TRAIN_3756,0.181
TRAIN_3045,0.179
TRAIN_6931,0.179
TRAIN_4650,0.178
TRAIN_1055,0.176
TRAIN_1556,0.176
TRAIN_1909,0.176
TRAIN_0087,0.175
TRAIN_0629,0.175
TRAIN_4989,0.174
TRAIN_0069,0.173
TRAIN_0730,0.173
TRAIN_2022,0.173
TRAIN_6412,0.173
TRAIN_1235,0.172
TRAIN_1652,0.171
TRAIN_2436,0.171
TRAIN_2596,0.171
TRAIN_2125,0.17
TRAIN_2273,0.169
TRAIN_6227,0.169
TRAIN_6911,0.169
